code,tambon_th,tambon_en,amphoe_en,amphoe_th,province_en,province_th,lat,lng
"100101","พระบรมมหาราชวัง","Praborommaharatchawang","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.751690","100.491882"
"100102","วังบูรพาภิรมย์","Wang Burapaphirom","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.744580","100.498978"
"100103","วัดราชบพิธ","Wat Ratchaborphit","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.750480","100.499039"
"100104","สำราญราษฎร์","Samran Rat","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.751750","100.503281"
"100105","ศาลเจ้าพ่อเสือ","San Chao Pho Sua","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.754360","100.496819"
"100106","เสาชิงช้า","Sao Ching Cha","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.753920","100.499969"
"100107","บวรนิเวศ","Bowon Niwet","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.757730","100.501137"
"100108","ตลาดยอด","Talat Yot","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.759760","100.497269"
"100109","ชนะสงคราม","Chana Songkhram","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.762000","100.494560"
"100110","บ้านพานถม","Ban Phan Thom","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.761980","100.502831"
"100111","บางขุนพรหม","Bang Khun Phrom","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.764760","100.505379"
"100112","วัดสามพระยา","Wat Sampraya","Phra Nakhon","เขตพระนคร","Bangkok","กรุงเทพมหานคร","13.767800","100.498947"
"100201","ดุสิต","Dusit","Dusit","เขตดุสิต","Bangkok","กรุงเทพมหานคร","13.772670","100.512527"
"100202","วชิรพยาบาล","Wachira Payaban","Dusit","เขตดุสิต","Bangkok","กรุงเทพมหานคร","13.777900","100.504593"
"100203","สวนจิตรลดา","Suan Chitlada","Dusit","เขตดุสิต","Bangkok","กรุงเทพมหานคร","13.768140","100.521523"
"100204","สี่แยกมหานาค","Sa Waek Mahanak","Dusit","เขตดุสิต","Bangkok","กรุงเทพมหานคร","13.758320","100.517570"
"100206","ถนนนครไชยศรี","Tanon Nakorn Chai","Dusit","เขตดุสิต","Bangkok","กรุงเทพมหานคร","13.788660","100.522827"
"100301","กระทุ่มราย","Krathum Rai","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.825900","100.892548"
"100302","หนองจอก","Nong Chok","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.872520","100.873894"
"100303","คลองสิบ","Khlong Sip","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.913710","100.824532"
"100304","คลองสิบสอง","Klong Sibsong","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.918290","100.880836"
"100305","โคกแฝด","Khok Fast","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.835520","100.829208"
"100306","คู้ฝั่งเหนือ","Khu Fang Nua","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.874220","100.812843"
"100307","ลำผักชี","Lam Phak Chi","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.798530","100.837059"
"100308","ลำต้อยติ่ง","Lam Toi Ting","Nong Chok","เขตหนองจอก","Bangkok","กรุงเทพมหานคร","13.776750","100.879333"
"100401","มหาพฤฒาราม","Maha Phrutharam","Bang Rak","เขตบางรัก","Bangkok","กรุงเทพมหานคร","13.733680","100.520157"
"100402","สีลม","Silom","Bang Rak","เขตบางรัก","Bangkok","กรุงเทพมหานคร","13.724170","100.529228"
"100403","สุริยวงศ์","Surawong","Bang Rak","เขตบางรัก","Bangkok","กรุงเทพมหานคร","13.726700","100.525291"
"100404","บางรัก","Bang Rak","Bang Rak","เขตบางรัก","Bangkok","กรุงเทพมหานคร","13.724550","100.514671"
"100405","สี่พระยา","Si Phraya","Bang Rak","เขตบางรัก","Bangkok","กรุงเทพมหานคร","13.729520","100.523132"
"100502","อนุสาวรีย์","Anusaowari","Bang Khen","เขตบางเขน","Bangkok","กรุงเทพมหานคร","13.868120","100.605827"
"100508","ท่าแร้ง","Tha Raeng","Bang Khen","เขตบางเขน","Bangkok","กรุงเทพมหานคร","13.866100","100.650452"
"100601","คลองจั่น","Khlong Chan","Bang Kapi","เขตบางกะปิ","Bangkok","กรุงเทพมหานคร","13.788680","100.635384"
"100608","หัวหมาก","Hua Mak","Bang Kapi","เขตบางกะปิ","Bangkok","กรุงเทพมหานคร","13.755700","100.644127"
"100701","รองเมือง","Rong Muang","Pathum Wan","เขตปทุมวัน","Bangkok","กรุงเทพมหานคร","13.744580","100.519836"
"100702","วังใหม่","Wang Mai","Pathum Wan","เขตปทุมวัน","Bangkok","กรุงเทพมหานคร","13.742000","100.526466"
"100703","ปทุมวัน","Pathum Wan","Pathum Wan","เขตปทุมวัน","Bangkok","กรุงเทพมหานคร","13.740610","100.534782"
"100704","ลุมพินี","Lumphini","Pathum Wan","เขตปทุมวัน","Bangkok","กรุงเทพมหานคร","13.736450","100.545769"
"100801","ป้อมปราบ","Pomprab","Pom Prap Sattru Phai","เขตป้อมปราบศัตรูพ่าย","Bangkok","กรุงเทพมหานคร","13.743830","100.511719"
